130,133,100,100,0.83309
31,66,4,22,0.82638
70,133,45,100,0.81367
70,130,45,100,0.73987
140,14,118,4,0.73756
84,103,-16,-18,0.72382
98,24,28,-5,0.70511
93,85,-39,-22,0.68898
90,79,-35,-20,0.67986
140,89,118,26,0.65156
105,30,-19,-8,0.6478
89,14,26,4,0.64369
88,59,-6,-43,0.64027
130,13,100,-1,0.63993
115,31,53,4,0.63913
34,27,8,6,0.63578
110,54,-8,5,0.62428
115,66,53,22,0.61738
98,49,28,-2,0.59103
106,49,8,-2,0.57222
133,13,100,-1,0.57197
119,47,-4,-18,0.56613
50,15,3,0,0.56189
70,13,45,-1,0.55912
32,109,14,27,0.55494
112,74,-25,-23,0.54757
59,51,-43,-7,0.54018
92,86,-18,1,0.53231
104,129,-9,15,0.53181
46,38,-26,-15,0.53071
26,55,-19,-2,0.5113
139,77,65,9,0.51104
125,106,54,8,0.50602
