Party_No,Party
1,Liberalų sąjūdis
8,Lietuvos socialdemokratų partija
16,Liberalų ir centro sąjunga
2,Respublikonų partija
14,Lietuvos valstiečių ir žaliųjų sąjunga
3,Darbo partija
13,Socialistinis liaudies frontas
4,Demokratinė darbo ir vienybės partija
6,Drąsos kelias
7,Lietuvos lenkų rinkimų akcija
12,Lietuvos žmonių partija
5,Tėvynės sąjunga-Lietuvos krikščionys demokratai
11,Krikščionių partija
9,Tvarka ir teisingumas
17,Emigrantų partija
10,Nacionalinis susivienijimas "Už Lietuvą Lietuvoje"
18,Politinė partija „Sąjunga Taip“
15,Jaunoji Lietuva
